round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,losses,optimizer
100,0.5721134543418884,0.800000011920929,0.5975332856178284,0.800000011920929,relu,2,0.0,100,4,0,logcosh,Adam
100,0.4775256812572479,0.7333333492279053,0.4999564290046692,0.6000000238418579,relu,2,0.0,100,4,0,logcosh,Nadam
100,0.45975354313850403,0.7333333492279053,0.5399594306945801,0.800000011920929,relu,2,0.0,100,4,0,logcosh,RMSprop
100,0.6566108465194702,0.6666666865348816,0.7305183410644531,0.4000000059604645,relu,2,0.0,100,4,0,binary_crossentropy,Adam
100,0.5179346799850464,0.6666666865348816,0.6964707374572754,0.4000000059604645,relu,2,0.0,100,4,0,binary_crossentropy,Nadam
100,0.4779176115989685,0.7333333492279053,0.43941205739974976,0.800000011920929,relu,2,0.0,100,4,0,binary_crossentropy,RMSprop
100,0.5539168119430542,0.6666666865348816,0.6358097791671753,0.6000000238418579,relu,2,0.0,100,4,1,logcosh,Adam
100,0.403009295463562,0.8666666746139526,0.38476815819740295,1.0,relu,2,0.0,100,4,1,logcosh,Nadam
100,0.6560031771659851,0.6666666865348816,0.7314601540565491,0.4000000059604645,relu,2,0.0,100,4,1,logcosh,RMSprop
100,0.4485416114330292,0.800000011920929,0.5579060912132263,0.800000011920929,relu,2,0.0,100,4,1,binary_crossentropy,Adam
100,0.6496638655662537,0.6666666865348816,0.7040551900863647,0.6000000238418579,relu,2,0.0,100,4,1,binary_crossentropy,Nadam
100,0.5217991471290588,0.800000011920929,0.5168460011482239,1.0,relu,2,0.0,100,4,1,binary_crossentropy,RMSprop
100,0.6271927356719971,0.6666666865348816,0.6565729379653931,0.4000000059604645,relu,2,0.0,100,4,2,logcosh,Adam
100,0.43949899077415466,0.800000011920929,0.43876662850379944,1.0,relu,2,0.0,100,4,2,logcosh,Nadam
100,0.43649035692214966,0.800000011920929,0.3109970688819885,1.0,relu,2,0.0,100,4,2,logcosh,RMSprop
100,0.5482078194618225,0.7333333492279053,0.47438374161720276,0.800000011920929,relu,2,0.0,100,4,2,binary_crossentropy,Adam
100,0.5304804444313049,0.6666666865348816,0.703467607498169,0.4000000059604645,relu,2,0.0,100,4,2,binary_crossentropy,Nadam
100,0.4095034897327423,0.8666666746139526,0.5431004762649536,1.0,relu,2,0.0,100,4,2,binary_crossentropy,RMSprop
100,0.5106990337371826,0.800000011920929,0.5298921465873718,0.800000011920929,relu,2,0.0,100,8,0,logcosh,Adam
100,0.29949188232421875,0.8666666746139526,0.3178514838218689,1.0,relu,2,0.0,100,8,0,logcosh,Nadam
100,0.3447677493095398,0.800000011920929,0.4533146917819977,0.800000011920929,relu,2,0.0,100,8,0,logcosh,RMSprop
100,0.4030989408493042,0.800000011920929,0.39756959676742554,0.800000011920929,relu,2,0.0,100,8,0,binary_crossentropy,Adam
100,0.4451976716518402,0.8666666746139526,0.4529531002044678,0.800000011920929,relu,2,0.0,100,8,0,binary_crossentropy,Nadam
100,0.5017082095146179,0.800000011920929,0.5708249807357788,0.800000011920929,relu,2,0.0,100,8,0,binary_crossentropy,RMSprop
100,0.44697245955467224,0.800000011920929,0.4910959303379059,1.0,relu,2,0.0,100,8,1,logcosh,Adam
100,0.36355048418045044,0.8666666746139526,0.43293333053588867,0.800000011920929,relu,2,0.0,100,8,1,logcosh,Nadam
100,0.40303412079811096,0.800000011920929,0.4233611226081848,0.800000011920929,relu,2,0.0,100,8,1,logcosh,RMSprop
100,0.3716205060482025,0.9333333373069763,0.3646993637084961,0.800000011920929,relu,2,0.0,100,8,1,binary_crossentropy,Adam
100,0.5865322947502136,0.6000000238418579,0.7301766872406006,0.20000000298023224,relu,2,0.0,100,8,1,binary_crossentropy,Nadam
100,0.4742409884929657,0.800000011920929,0.5334450006484985,0.800000011920929,relu,2,0.0,100,8,1,binary_crossentropy,RMSprop
100,0.5022307634353638,0.6666666865348816,0.5516669154167175,0.6000000238418579,relu,2,0.0,100,8,2,logcosh,Adam
100,0.39776650071144104,0.8666666746139526,0.3904787003993988,0.800000011920929,relu,2,0.0,100,8,2,logcosh,Nadam
100,0.3595797121524811,0.8666666746139526,0.3502231538295746,1.0,relu,2,0.0,100,8,2,logcosh,RMSprop
100,0.45218387246131897,0.800000011920929,0.41855043172836304,1.0,relu,2,0.0,100,8,2,binary_crossentropy,Adam
100,0.44582536816596985,0.8666666746139526,0.47089600563049316,0.800000011920929,relu,2,0.0,100,8,2,binary_crossentropy,Nadam
100,0.3889867663383484,0.800000011920929,0.36164480447769165,1.0,relu,2,0.0,100,8,2,binary_crossentropy,RMSprop
100,0.3704911768436432,0.800000011920929,0.334528386592865,0.800000011920929,relu,2,0.0,100,16,0,logcosh,Adam
100,0.397239625453949,0.9333333373069763,0.43702536821365356,1.0,relu,2,0.0,100,16,0,logcosh,Nadam
100,0.2297298163175583,0.9333333373069763,0.3472798466682434,0.800000011920929,relu,2,0.0,100,16,0,logcosh,RMSprop
100,0.2789366841316223,1.0,0.39706653356552124,1.0,relu,2,0.0,100,16,0,binary_crossentropy,Adam
100,0.4195728600025177,0.800000011920929,0.44366830587387085,0.800000011920929,relu,2,0.0,100,16,0,binary_crossentropy,Nadam
