round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,losses,optimizer
100,0.45041435956954956,0.7333333492279053,0.35311752557754517,0.800000011920929,relu,2,0.0,100,4,0,logcosh,Adam
100,0.36839333176612854,0.8666666746139526,0.4306458830833435,0.800000011920929,relu,2,0.0,100,4,0,logcosh,Nadam
100,0.5970662832260132,0.6666666865348816,0.48848849534988403,0.800000011920929,relu,2,0.0,100,4,0,logcosh,RMSprop
100,0.6178092956542969,0.6666666865348816,0.5188127756118774,0.800000011920929,relu,2,0.0,100,4,0,binary_crossentropy,Adam
100,0.5785977840423584,0.7333333492279053,0.5408190488815308,0.800000011920929,relu,2,0.0,100,4,0,binary_crossentropy,Nadam
100,0.5789609551429749,0.6666666865348816,0.38055258989334106,0.800000011920929,relu,2,0.0,100,4,0,binary_crossentropy,RMSprop
100,0.5218896269798279,0.7333333492279053,0.45928138494491577,0.800000011920929,relu,2,0.0,100,4,1,logcosh,Adam
100,0.6003921627998352,0.6666666865348816,0.3397800028324127,1.0,relu,2,0.0,100,4,1,logcosh,Nadam
100,0.42902278900146484,0.800000011920929,0.26688218116760254,1.0,relu,2,0.0,100,4,1,logcosh,RMSprop
100,0.6564871072769165,0.6666666865348816,0.6192899942398071,0.800000011920929,relu,2,0.0,100,4,1,binary_crossentropy,Adam
100,0.637938916683197,0.7333333492279053,0.6224786043167114,0.800000011920929,relu,2,0.0,100,4,1,binary_crossentropy,Nadam
100,0.5327335000038147,0.7333333492279053,0.29801449179649353,0.800000011920929,relu,2,0.0,100,4,1,binary_crossentropy,RMSprop
100,0.4203486144542694,0.7333333492279053,0.44860267639160156,0.800000011920929,relu,2,0.0,100,4,2,logcosh,Adam
100,0.3154990077018738,0.8666666746139526,0.34006303548812866,0.800000011920929,relu,2,0.0,100,4,2,logcosh,Nadam
100,0.3483240008354187,0.8666666746139526,0.5068605542182922,0.800000011920929,relu,2,0.0,100,4,2,logcosh,RMSprop
100,0.4793926477432251,0.7333333492279053,0.3584309220314026,0.800000011920929,relu,2,0.0,100,4,2,binary_crossentropy,Adam
100,0.5964900255203247,0.7333333492279053,0.582591712474823,0.800000011920929,relu,2,0.0,100,4,2,binary_crossentropy,Nadam
100,0.5486996173858643,0.800000011920929,0.5498130321502686,0.800000011920929,relu,2,0.0,100,4,2,binary_crossentropy,RMSprop
100,0.49911901354789734,0.7333333492279053,0.4464481770992279,0.800000011920929,relu,2,0.0,100,8,0,logcosh,Adam
100,0.5230048298835754,0.6000000238418579,0.2674955427646637,1.0,relu,2,0.0,100,8,0,logcosh,Nadam
100,0.5042842030525208,0.7333333492279053,0.45569539070129395,0.800000011920929,relu,2,0.0,100,8,0,logcosh,RMSprop
100,0.26982852816581726,0.9333333373069763,0.38262253999710083,0.800000011920929,relu,2,0.0,100,8,0,binary_crossentropy,Adam
100,0.42193603515625,0.800000011920929,0.20401613414287567,1.0,relu,2,0.0,100,8,0,binary_crossentropy,Nadam
100,0.5030124187469482,0.800000011920929,0.4493967592716217,0.800000011920929,relu,2,0.0,100,8,0,binary_crossentropy,RMSprop
100,0.4848933517932892,0.7333333492279053,0.31084975600242615,1.0,relu,2,0.0,100,8,1,logcosh,Adam
100,0.40836742520332336,0.6666666865348816,0.3162652850151062,1.0,relu,2,0.0,100,8,1,logcosh,Nadam
100,0.44945287704467773,0.7333333492279053,0.3923569321632385,0.800000011920929,relu,2,0.0,100,8,1,logcosh,RMSprop
100,0.4522722065448761,0.800000011920929,0.3337411880493164,1.0,relu,2,0.0,100,8,1,binary_crossentropy,Adam
100,0.36242207884788513,0.8666666746139526,0.4341067671775818,0.800000011920929,relu,2,0.0,100,8,1,binary_crossentropy,Nadam
100,0.32301557064056396,0.9333333373069763,0.18272066116333008,1.0,relu,2,0.0,100,8,1,binary_crossentropy,RMSprop
100,0.4947442412376404,0.800000011920929,0.36422067880630493,0.800000011920929,relu,2,0.0,100,8,2,logcosh,Adam
100,0.48307234048843384,0.800000011920929,0.3256193697452545,1.0,relu,2,0.0,100,8,2,logcosh,Nadam
100,0.3656495213508606,0.800000011920929,0.42138147354125977,0.800000011920929,relu,2,0.0,100,8,2,logcosh,RMSprop
100,0.5226150155067444,0.7333333492279053,0.33110547065734863,0.800000011920929,relu,2,0.0,100,8,2,binary_crossentropy,Adam
100,0.3706091642379761,0.800000011920929,0.3849788010120392,0.6000000238418579,relu,2,0.0,100,8,2,binary_crossentropy,Nadam
100,0.44341927766799927,0.6666666865348816,0.41378793120384216,0.800000011920929,relu,2,0.0,100,8,2,binary_crossentropy,RMSprop
100,0.32822465896606445,0.800000011920929,0.24927885830402374,1.0,relu,2,0.0,100,16,0,logcosh,Adam
100,0.34701886773109436,0.8666666746139526,0.3320519030094147,0.800000011920929,relu,2,0.0,100,16,0,logcosh,Nadam
100,0.26651206612586975,0.9333333373069763,0.27074581384658813,0.800000011920929,relu,2,0.0,100,16,0,logcosh,RMSprop
100,0.4053582549095154,0.7333333492279053,0.3061995804309845,0.800000011920929,relu,2,0.0,100,16,0,binary_crossentropy,Adam
100,0.3428226113319397,0.8666666746139526,0.3752734661102295,0.800000011920929,relu,2,0.0,100,16,0,binary_crossentropy,Nadam
