"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SUCNR1",102.507626632561,1.42721255009665,0.341700870325079,4.17678933254945,2.95652608653425e-05,0.00573031369899654
"MUC15",6.67363663219458,4.85737443240985,1.1644226573742,4.17148739046639,3.02617805779951e-05,0.00580357242474202
"SNORA5C",32.43482929068,1.52941697382969,0.367266216775361,4.16432795604819,3.12270989533353e-05,0.00592631787323767
"NSA2P3",15.7973210520516,1.99106557806568,0.482038895571429,4.13050813193278,3.61962290395123e-05,0.00673397963370766
"SPAG17",10.8728476505329,2.31254215005644,0.559890926531233,4.13034403751395,3.62220760801005e-05,0.00673397963370766
"MAPRE3-AS1",7.64623162136611,2.57292889761202,0.62433998150011,4.12103817447348,3.77168916281949e-05,0.00694105099569781
"ANKRD36C",247.354280622345,2.10376316967585,0.510918984293931,4.11760618483019,3.82828155166197e-05,0.00697474615897295
"CFAP70",78.866106314722,1.4351118016448,0.350016537803133,4.10012569878048,4.12925794436949e-05,0.00744860895925422
"UPK1B",7.40719648216837,3.00685407316009,0.735813568311168,4.08643466586433,4.38052765798761e-05,0.00782439543145845
"WFDC13",8.37758656687037,2.25725991205503,0.553037553223239,4.08156715380205,4.47330484789578e-05,0.00791253796347701
"ANKRD36B",93.6147035951091,1.41471123619376,0.346942965610193,4.0776478453904,4.54936014444052e-05,0.00796969158380403
"H1-5",28.3213650915166,2.86735825513694,0.704952342375603,4.06744978742009,4.75304460312994e-05,0.00824721139280232
"CRIPT",821.063403540089,0.559152753063391,0.139193352546615,4.01709379674676,5.8920276678408e-05,0.0101270615170181
"RNVU1-1",8.73423103772773,2.3668729941661,0.589935226224073,4.0120896141691,6.01836438272453e-05,0.0102475309055008
"DEUP1",10.9507785506703,2.09627009142644,0.52330687702246,4.00581414743469,6.18042316357375e-05,0.0104260305201065
"IGHD",243.167705752728,-1.85109942539256,0.462866712800355,-3.99920619522056,6.35552914665029e-05,0.010623062892002
"DNAH14",241.824199980745,1.29267392974047,0.323555877803448,3.99521077631524,6.46367217270709e-05,0.0106697611223043
"FBXW12",5.81397935923981,1.90123890281013,0.476040316796374,3.99386109900305,6.50059544747671e-05,0.0106697611223043
"SNORA75",14.9078522615599,2.17263871226545,0.54447548737381,3.99033338074562,6.59804871417711e-05,0.0107330222788922
"ADAM32_84",264.415401866092,1.8276536056671,0.458983599121341,3.98195841674055,6.83497400023205e-05,0.0110200346292237
"PADI1_29",103.383249346079,1.90618606340349,0.480133618130681,3.97011579989942,7.18377087313666e-05,0.0114808001348839
"STK31",187.621761170329,2.21584898911948,0.559176785849,3.96269846173093,7.41073577219399e-05,0.0117405386985741
"DTD2",683.997736193353,0.577554214716733,0.147156610752913,3.92475887941243,8.68166521957961e-05,0.0135370676812359
"FSD1L",519.959437958173,1.06258150913019,0.270760326728303,3.92443576195137,8.69332520283552e-05,0.0135370676812359
"SNORA3B",5.41835012715706,1.95931926554241,0.499668846786898,3.92123559061514,8.80960795356653e-05,0.0136018853649177
"USP6",23.5649549776104,1.33778772317607,0.341833679815142,3.91356323899836,9.09440687108955e-05,0.0139236133432253
"KCNRG",24.5162204103117,1.32646665158992,0.339371009818061,3.90860330792852,9.2831249818506e-05,0.0140941045036947
"ITGB8",1278.35129914301,1.38836363666888,0.3555422386619,3.9049189820429,9.42569574093883e-05,0.0141350335624162
"ANKAR",122.657069554286,1.01848569134912,0.260888879310129,3.90390611528675,9.46525108191872e-05,0.0141350335624162
"CFAP161",9.41143497613422,1.77819210191012,0.456129925416024,3.89843332530371,9.68170502748075e-05,0.0142426898834966
"ZNF484",223.79674345062,0.904350916695438,0.231995871599489,3.89813366272604,9.69369090264877e-05,0.0142426898834966
"TRIM59",374.845782629174,0.880171840390594,0.226112333682346,3.89263082670715,9.91629930370539e-05,0.0144532045611367
"SNORD72",3.12505744943656,2.87160374191437,0.738143313429053,3.89030651591803,0.000100117678319928,0.0144765395342124
"SNORA60",12.4776966378934,1.65505881572008,0.42611642447898,3.88405309122677,0.000102729460376799,0.0147255475786479
"ATP1A1-AS1",133.179934660025,0.980712083814621,0.252694804277559,3.88101404228878,0.000104021833955305,0.0147255475786479
"MLLT3",2145.36428110032,0.636943356710971,0.164141736440339,3.88044729222468,0.000104264539088072,0.0147255475786479
"ZNF573",109.213207533094,1.28171826777953,0.330895698565399,3.87348120068175,0.000107291686490336,0.015036517201288
"NPSR1-AS1",37.1080033575507,3.50163676306505,0.90533519210707,3.86777935243561,0.000109830974862734,0.0152748895498026
"XKRX",371.615874351251,1.73579980201429,0.449649941854887,3.86033587562317,0.000113231274367285,0.0156284893007391
"ZNF852_256",153.450286426846,0.951483162677065,0.246968909284182,3.85264349846649,0.000116849456168405,0.0159132775569878
"RANBP17",261.144552731468,1.32244883090264,0.343293334695348,3.85224150092001,0.000117041505715812,0.0159132775569878
"SNORA80A",21.5244586153006,7.91222966499604,2.05758055627391,3.84540456550793,0.000120353700516699,0.0162424005163981
"VTRNA1-1",6.51115608366294,4.43983380690013,1.15705203217465,3.83719459751139,0.00012444785551385,0.0166340064885241
"SNORD70",2.84692808481563,3.88596794275851,1.01324041581566,3.83518845291056,0.000125468055107824,0.0166340064885241
"FAM217A",9.17094889656295,2.09720648894668,0.546979481476602,3.83415934229407,0.000125994450596428,0.0166340064885241
"TNFRSF11B",566.034249196142,1.40685049246115,0.367816273041946,3.82487289326842,0.000130839572586361,0.0171294301423726
"H2AC21",4.86228524914393,3.21928211387361,0.84199601033661,3.82339354860674,0.000131627433993752,0.0171294301423726
"IGHV1-3",66.9792219688923,-2.02320308037288,0.531027169163788,-3.80998035102203,0.000138977836746989,0.0178701993008086
"RN7SKP173",8.92052246357012,2.28462765596323,0.599727821108484,3.80944084224829,0.000139281426023098,0.0178701993008086
"POU2F2",391.126778079692,-1.04919565668955,0.275834337938632,-3.8037166240085,0.000142541231442372,0.0181605503192209
"CXCL10",1068.17150823551,1.78260377554992,0.469259148747297,3.79876190013266,0.000145420709822189,0.0183987493906282
"BAG4",1023.06505817614,0.689747186404254,0.182224792280577,3.78514458857075,0.000153619236635607,0.0193019922225112
"OLFML2A",1413.13667195974,-1.1736895326522,0.310750512183073,-3.77695124106743,0.000158759796493069,0.0198112652897755
"C12orf29",772.151951595303,0.653498928711416,0.173373427661492,3.76931423417065,0.000163696691162292,0.0202883674577265
"TMEM267",564.379624764082,0.557495611074923,0.148338690617203,3.75826164269964,0.000171097919961089,0.0208097219400077
"TIMD4",37.0304846605533,-1.74164204061515,0.463456682262247,-3.75793921475846,0.000171318483153346,0.0208097219400077
"ZNF525",548.591350902322,1.0214760530806,0.271819341173694,3.75792262857364,0.000171329836489443,0.0208097219400077
"ANKRD49",638.856712176706,0.466781781960451,0.124297205469265,3.75536827395426,0.000173086778079393,0.0208735451474854
"ACTR3C",221.108191585929,0.97195636507511,0.25892329226605,3.75383904850244,0.000174146707416311,0.0208735451474854
"POMK",122.670542370567,1.25816784266805,0.335669013788004,3.7482394590722,0.000178080195319944,0.0211230958694844
"RN7SKP269",3.61953966616762,1.92199088216052,0.512861598294617,3.74758197640763,0.00017854749239259,0.0211230958694844
"EPHB1",209.300131611855,-1.79598123822752,0.479609664351378,-3.74467274477548,0.000180629062408032,0.0211876429637085
"FOXI2",6.07554966426573,-1.36375773210271,0.364292689446325,-3.74357699622091,0.000181418974825101,0.0211876429637085
"ANKRD31",8.84427711082619,1.55401476655719,0.416171492849708,3.7340730762604,0.000188407788237202,0.0218637037827617
"DOCK8-AS1",29.391107275022,1.57682584306065,0.424115206291394,3.71791866848856,0.000200870913727092,0.0228759225556958
"KLHL11",124.983018921489,1.08627167428087,0.292182300184797,3.71778740051615,0.000200975288621046,0.0228759225556958
"OR7E12P",8.04576365854834,2.24581686115464,0.604375237445557,3.71593129898367,0.000202456592043208,0.0228759225556958
"ZNF121",1672.45623028677,1.12613677321329,0.303130393223075,3.71502428786334,0.000203184177500454,0.0228759225556958
"FOXN2",1210.02746417355,0.667782252770806,0.17983714162584,3.71326104682068,0.000204605647183159,0.0228759225556958
"SLC22A15",198.416603873758,1.04352643590377,0.281032422146291,3.71318877706063,0.000204664107611747,0.0228759225556958
"DLEU7",47.1829384566736,1.39447896192264,0.377589091449195,3.69311241638523,0.00022152603542907,0.0246096514602575
"EEF1A1P32",5.135398281022,3.73259551054198,1.01117825694832,3.69133284353516,0.000223081983391893,0.0246323070025267
"RGS20",6.47340500008339,1.54208811827958,0.418759502601725,3.682514924912,0.000230944342643109,0.0253468372205711
"C9orf72",733.322175382537,0.665607531965147,0.18104527831936,3.67646998664626,0.000236483663601227,0.0253641360247061
"ZNF765",625.945566163401,0.704143304530513,0.191537948357549,3.67626003394414,0.000236678277265056,0.0253641360247061
"RPL12P4",43.0258428694035,1.41268123138112,0.384379587798883,3.67522437773222,0.00023764046985642,0.0253641360247061
"PNMA8A",149.93726410908,-1.30751908978022,0.355778843604819,-3.67508949248411,0.000237766056899675,0.0253641360247061
"CFAP47",5.95429527422905,2.98383202206604,0.812206557632195,3.67373544823958,0.000239030216091934,0.0253641360247061
"BTBD8",28.5172855984519,1.05422075159907,0.287106347545023,3.67188242479992,0.000240770453539323,0.0253641360247061
"KLHL32",111.216329939067,1.38953183076915,0.378433319717147,3.67180097092858,0.000240847221706688,0.0253641360247061
"SHOX2",15.3107633753735,1.27134725190094,0.346583981700801,3.66822276569744,0.000244242339186338,0.025573857342735
"RAPGEF1",4067.9408372542,-0.379505106648889,0.103627190818012,-3.66221552136222,0.000250043355142789,0.0260316564991227
"TVP23C",94.8843603501114,1.05839262496385,0.289420276265226,3.65694013778749,0.000255243958989447,0.0264221005047087
"ANKFN1",33.6012067898457,1.59657158289805,0.437769387364339,3.64706082467407,0.000265257150010653,0.0273035029155033
"SPATA21",3.00189528545279,2.40637033863137,0.661528221158687,3.63759286703829,0.000275197980163263,0.0281508042536943
"PRAMENP",36.0373243135965,-2.59880431434215,0.714683118853336,-3.63630292333163,0.00027657906369237,0.0281508042536943
"S100A1",75.3120699090495,-1.09854121414591,0.302282034799075,-3.63415978351511,0.000278887994873377,0.0282281132144336
"MIR421",5.01112084051438,2.40350558760443,0.662267809711312,3.62920491130641,0.000284295508700968,0.0286164633868671
"TYW5",502.452305510796,0.736978394085142,0.20329046451799,3.62524821728628,0.000288684039122453,0.0288985412569889
"ZNF620",184.790934297592,0.533849024416856,0.14732610753205,3.62358738284537,0.000290544981990883,0.0289258963218136
"SH3TC2",438.026122593725,1.60415850192776,0.442954069872581,3.6215007627974,0.000292898941718927,0.0290017707563975
"COL6A6",17.5246067335798,1.9400132937783,0.536521268565126,3.61591125542269,0.000299292904554302,0.0292371273188161
"MIRLET7BHG",111.545714840928,1.18992003454637,0.329090868839434,3.61577955275003,0.000299445126837804,0.0292371273188161
"LINC00970",5.54938510170493,2.43381981674105,0.673214455825636,3.6152221564467,0.000300090170076218,0.0292371273188161
"TTC5",699.21955230667,0.539023462511792,0.14920632409608,3.61260466523318,0.000303136685963462,0.0293768472423846
"TSGA10",200.651163905099,0.663498619068424,0.184093038811836,3.60414833364011,0.000313178168057933,0.0299597033795252
"PGF",522.164932421361,1.37005243826244,0.380234612882543,3.60317654375578,0.000314351863472951,0.0299597033795252
"ZNF805",125.250207925059,1.06012925654661,0.294330389187214,3.60183418190057,0.000315979897261515,0.0299597033795252
"KANSL2",1137.8957522229,0.464047735090307,0.128861594899227,3.60113294774293,0.000316833498458908,0.0299597033795252
"SNORA33",38.4962173661542,1.33464356689925,0.370663231392607,3.60069047551574,0.000317373223132354,0.0299597033795252
"PDSS1P1",2.92492400434058,3.52706172885829,0.980032679270422,3.59892257009632,0.000319538303430224,0.0300085997432745
"ZNF131",1157.17782396623,0.393183387795594,0.109685524550469,3.58464245311312,0.000337540294841194,0.0315366493933934
"YAF2",712.160883156035,0.703681600165927,0.196534834945352,3.58044211532063,0.000343013327973342,0.031884488889522
"PKP1",515.994276560922,1.89845909600861,0.530636720792962,3.5777001885049,0.000346630720107413,0.0320571831961267
"IGHV3-20",121.24197343075,-1.76849928632656,0.495271335249086,-3.57076850699856,0.000355935370702674,0.0327255487975278
"CCL24",1449.40330545746,1.48062489052365,0.414780819739772,3.56965611730208,0.000357450146040289,0.0327255487975278
"OPA3",1324.77272738226,-0.289692975023047,0.0813169739501987,-3.56251543743456,0.000367318301229641,0.0334608606505142
"PSMA8",2.03103223655733,-2.03012418280849,0.570301481042907,-3.55973857738544,0.000371224152321075,0.033648422045461
"SNORA2B",3.6700444573135,3.31151247448209,0.931448509699681,3.55522870024215,0.000377650451363832,0.0340614533336517
"CRYM-AS1",25.8031772507845,1.19611559604476,0.337539091687568,3.54363576101551,0.000394650063362097,0.0354193571645027
"TTC29",3.0314140125551,-2.97849591924719,0.841317061685364,-3.54027756584483,0.000399706411580296,0.0356973093753991
"ST7L",444.450527340566,0.511474357410319,0.144611674556487,3.53688150682835,0.000404881272907181,0.035947739621725
"DPY19L4",1494.00056694672,0.536902186845103,0.151845051466492,3.53585567431931,0.000406456685991292,0.035947739621725
"PUS7L",1447.6319829177,0.952665872646928,0.269752609971559,3.53162800814929,0.000413009908330114,0.0363508575838954
"TBPL1",797.493917246268,0.407863080017953,0.115579706564202,3.52884682045279,0.000417374643802074,0.0365584069011057
"ZNF708",362.958615214279,0.911139145365449,0.258546301673986,3.52408500708067,0.000424947894294216,0.0370436635700781
"C1orf195",2.65280658977959,1.97636156081615,0.561415929942023,3.52031614247257,0.000431032707469908,0.0373951661780679
"TCN1",337.975539082269,2.74519537833006,0.780370971034672,3.51780817101677,0.000435126787027312,0.0375714451793867
"TTC32",232.275716839206,0.517072529613074,0.147157765245664,3.51372915149859,0.000441863107203388,0.037973131840276
"RN7SKP180",4.40199080567268,4.28474663196276,1.22400333866225,3.50060044496749,0.000464211262709723,0.0397064084286781
"PRB2",2.94013741881854,3.26620598799287,0.933511482853528,3.49883857669199,0.000467289391325766,0.0397829225260007
"CYP4X1",207.070844935615,1.43599668480132,0.410758625949261,3.49596233428511,0.000472355371040245,0.0400271744417778
"DHRS2",66.9590829106534,1.52700905455451,0.437004369207194,3.49426495969545,0.000475368979752407,0.0400960529727273
"CHRNG",8.04292102672232,1.91283957688971,0.547720605485701,3.49236373021508,0.000478765813778993,0.040196471710781
"CDKL4",4.08217655883109,2.30501757052481,0.661038399502058,3.48696470925307,0.000488535818535332,0.0408285966875927
"NPC1L1",51.5536652226909,-1.44606275344558,0.414911120805899,-3.48523498390891,0.000491705027066002,0.0408938650194213
"RNU6-216P",4.15111596451476,2.10160954587296,0.603289789585669,3.4835821559591,0.000494751246778023,0.0408938650194213
"RFX3",568.220150758349,0.821952198344771,0.235997846138951,3.48288008468019,0.000496050506026242,0.0408938650194213
"ZNF195",1058.95825322549,0.563151157160167,0.16186072066087,3.47923297796307,0.000502851215723261,0.0412677761228022
"SNORA40B",8.95684592038435,6.21266743866328,1.78712865759956,3.47634033635162,0.000508306790142637,0.0413603664864829
"NDST1",3513.93509439691,-0.467577489311129,0.134507141379156,-3.47622798698172,0.000508519792138547,0.0413603664864829
"IRAG2",442.058226633812,-1.27122111688371,0.366103978505739,-3.47229528089869,0.00051602841345745,0.0415236692262554
"SARNP",88.7588753905437,0.817052714298097,0.235320136480463,3.47209009189884,0.000516422998396377,0.0415236692262554
"MOSPD1",659.280295074707,0.74005744658821,0.213174694543284,3.47160083036002,0.000517364998867116,0.0415236692262554
"LYNX1",421.387302678934,-1.47504744618882,0.425135914382766,-3.46959030344536,0.000521252808125812,0.0416522145230007
"BIRC7",20.2054488148929,1.56612596237085,0.452145309435384,3.46376691229319,0.000532667850288151,0.0421057860233969
"POC1B",2165.93545536298,0.692791657481553,0.200025150556225,3.46352273979075,0.000533151529144178,0.0421057860233969
"C17orf77",75.4882218734213,2.35189740475881,0.679118051669227,3.46316431874841,0.00053386226309922,0.0421057860233969
"TSPAN18",1167.76012808441,-1.19587225089257,0.345858843674654,-3.45768880213315,0.000544830332568002,0.0424358049948197
"GLULP4",1.80737418585083,-1.93058537200752,0.55836081314993,-3.45759467093748,0.000545020710316629,0.0424358049948197
"ZNF749",171.047225494081,0.809470953297465,0.234114346346095,3.45758799463239,0.000545034215313014,0.0424358049948197
"ZNF81",411.743582556892,0.995387901739835,0.288096025389129,3.4550560022318,0.000550178531616462,0.0426540539043418
"RNVU1-15",2.97277002697216,2.74094358278542,0.793811443206041,3.45288998570658,0.000554615144047945,0.0428158191076674
